,sales,date,region
0,1638.0,2018-02-06,north
1,1647.0,2018-02-06,south
2,1731.0,2018-02-06,east
3,1557.0,2018-02-06,west
28,1587.0,2018-02-07,north
29,1698.0,2018-02-07,south
30,1542.0,2018-02-07,east
31,1635.0,2018-02-07,west
56,1602.0,2018-02-08,north
57,1536.0,2018-02-08,south
58,1503.0,2018-02-08,east
59,1701.0,2018-02-08,west
84,1758.0,2018-02-09,north
85,1662.0,2018-02-09,south
86,1782.0,2018-02-09,east
87,1515.0,2018-02-09,west
112,1662.0,2018-02-10,north
113,1557.0,2018-02-10,south
114,1650.0,2018-02-10,east
115,1674.0,2018-02-10,west
140,1554.0,2018-02-11,north
141,1587.0,2018-02-11,south
142,1563.0,2018-02-11,east
143,1764.0,2018-02-11,west
168,1758.0,2018-02-12,north
169,1608.0,2018-02-12,south
170,1569.0,2018-02-12,east
171,1653.0,2018-02-12,west
196,1572.0,2018-02-13,north
197,1716.0,2018-02-13,south
198,1773.0,2018-02-13,east
199,1725.0,2018-02-13,west
224,1767.0,2018-02-14,north
225,1710.0,2018-02-14,south
226,1698.0,2018-02-14,east
227,1512.0,2018-02-14,west
252,1746.0,2018-02-15,north
253,1734.0,2018-02-15,south
254,1524.0,2018-02-15,east
255,1614.0,2018-02-15,west
280,1578.0,2018-02-16,north
281,1782.0,2018-02-16,south
282,1527.0,2018-02-16,east
283,1752.0,2018-02-16,west
308,1785.0,2018-02-17,north
309,1689.0,2018-02-17,south
310,1641.0,2018-02-17,east
311,1575.0,2018-02-17,west
336,1644.0,2018-02-18,north
337,1674.0,2018-02-18,south
338,1551.0,2018-02-18,east
339,1737.0,2018-02-18,west
364,1563.0,2018-02-19,north
365,1647.0,2018-02-19,south
366,1605.0,2018-02-19,east
367,1539.0,2018-02-19,west
392,1698.0,2018-02-20,north
393,1575.0,2018-02-20,south
394,1500.0,2018-02-20,east
395,1551.0,2018-02-20,west
420,1737.0,2018-02-21,north
421,1542.0,2018-02-21,south
422,1665.0,2018-02-21,east
423,1548.0,2018-02-21,west
448,1635.0,2018-02-22,north
449,1632.0,2018-02-22,south
450,1668.0,2018-02-22,east
451,1764.0,2018-02-22,west
476,1533.0,2018-02-23,north
477,1563.0,2018-02-23,south
478,1641.0,2018-02-23,east
479,1773.0,2018-02-23,west
504,1629.0,2018-02-24,north
505,1698.0,2018-02-24,south
506,1725.0,2018-02-24,east
507,1722.0,2018-02-24,west
532,1596.0,2018-02-25,north
533,1710.0,2018-02-25,south
534,1635.0,2018-02-25,east
535,1659.0,2018-02-25,west
560,1686.0,2018-02-26,north
561,1533.0,2018-02-26,south
562,1524.0,2018-02-26,east
563,1530.0,2018-02-26,west
588,1665.0,2018-02-27,north
589,1695.0,2018-02-27,south
590,1578.0,2018-02-27,east
591,1620.0,2018-02-27,west
616,1767.0,2018-02-28,north
617,1593.0,2018-02-28,south
618,1743.0,2018-02-28,east
619,1557.0,2018-02-28,west
644,1668.0,2018-03-01,north
645,1782.0,2018-03-01,south
646,1527.0,2018-03-01,east
647,1668.0,2018-03-01,west
672,1635.0,2018-03-02,north
673,1569.0,2018-03-02,south
674,1746.0,2018-03-02,east
675,1773.0,2018-03-02,west
700,1539.0,2018-03-03,north
701,1500.0,2018-03-03,south
702,1569.0,2018-03-03,east
703,1557.0,2018-03-03,west
728,1773.0,2018-03-04,north
729,1644.0,2018-03-04,south
730,1614.0,2018-03-04,east
731,1674.0,2018-03-04,west
756,1533.0,2018-03-05,north
757,1653.0,2018-03-05,south
758,1557.0,2018-03-05,east
759,1746.0,2018-03-05,west
784,1719.0,2018-03-06,north
785,1719.0,2018-03-06,south
786,1659.0,2018-03-06,east
